,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity
29,Let Go,6EkfVAo6uWwoWa7nwevWPM,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,Let Go,2018-02-07,spotify:album:6EkfVAo6uWwoWa7nwevWPM,6hchk7cCDULpk2ag8JFjXQ,spotify:track:6hchk7cCDULpk2ag8JFjXQ,180479,False,0
30,Fire,4b7DQdQztY3wvk8DJB8bgz,Diskopunk,5Ck4KWOZsbrSQpiLimooDp,Fire,2016-03-22,spotify:album:4b7DQdQztY3wvk8DJB8bgz,5jRJlGB5EP7HFKwYBKvlSA,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,197749,False,47
31,Supermarket (Soundtrack),7C5J8fG34IbOKe2pQPq9SU,Logic,4xRYI6VqpkE3UwrDrAZL8L,Bohemian Trapsody,2019-03-26,spotify:album:7C5J8fG34IbOKe2pQPq9SU,7Ii2ALuxW7NkLfQPhV4Rn2,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,404666,True,53
32,Lux Prima,1kgurOfUl0Qu20MDK46xur,Karen O,6emHCSoB4tJxTVXakbrpPz,Turn The Light,2019-03-15,spotify:album:1kgurOfUl0Qu20MDK46xur,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51
33,Lux Prima,1kgurOfUl0Qu20MDK46xur,Danger Mouse,2dBj3prW7gP9bCCOIQeDUf,Turn The Light,2019-03-15,spotify:album:1kgurOfUl0Qu20MDK46xur,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51
34,Morrison,4Dq6bkNjN6gOz0P51j759B,FRENSHIP,7xEFii6utZmQ61kX59HmLH,Morrison,2014-06-03,spotify:album:4Dq6bkNjN6gOz0P51j759B,7FwUBR93O0aSvXltMM73e7,spotify:track:7FwUBR93O0aSvXltMM73e7,235755,False,37
35,Free Spirit,6KT8x5oqZJl9CcnM66hddo,Khalid,6LuN9FCkKOj5PcnpouEgny,Outta My Head (with John Mayer),2019-04-05,spotify:album:6KT8x5oqZJl9CcnM66hddo,09oZ9eXQ2fo6YDrPzJqAoP,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,177066,False,69
36,The Omnitone Collection,6uecoRvQc3nqMVgZoxrEHK,Elder Island,3EnbnmqrrvApHJs6FMvYik,Don't Lose,2019-02-08,spotify:album:6uecoRvQc3nqMVgZoxrEHK,6Kk8BZZiRIClaHm0Qmkj12,spotify:track:6Kk8BZZiRIClaHm0Qmkj12,230431,False,34
37,Soulection Black Label: Hablot Brown,4drK8GetIiILQI15zbGOex,Hablot Brown,6LtgEnShwvrqAaKohg7skM,Reason,2018-07-29,spotify:album:4drK8GetIiILQI15zbGOex,7hdM3l7whE3lTHP6WsoKZT,spotify:track:7hdM3l7whE3lTHP6WsoKZT,200000,False,46
38,Alix,185i0n1TQMSppzacSaADTu,Generationals,57MtJQ6Sc4tIxrXIhrqVJL,Heart in Two,2014-09-12,spotify:album:185i0n1TQMSppzacSaADTu,3FDcRqc0TH5wWERAOu1O0c,spotify:track:3FDcRqc0TH5wWERAOu1O0c,197800,False,27
39,In Your Own Sweet Time,2hduWl9FwHZ1B75dINAdnw,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Told You So,2018-03-16,spotify:album:2hduWl9FwHZ1B75dINAdnw,39Mfc40ap5dWCmAAtqMAW2,spotify:track:39Mfc40ap5dWCmAAtqMAW2,242259,False,32
