,song_name,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
63,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)",67c4kWwica8i1bxNJc1rkq,spotify:track:67c4kWwica8i1bxNJc1rkq,334895,True,35,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
64,Nasty (Who Dat) (feat. Migos),4GBuL6fgtVXJNgP1GzoF6Z,spotify:track:4GBuL6fgtVXJNgP1GzoF6Z,210681,True,37,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
65,Plain Jane,3CrGhzG1oFEpgyK9XlxrXq,spotify:track:3CrGhzG1oFEpgyK9XlxrXq,173254,True,46,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
66,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",6kl1qtQXQsFiIWRBK24Cfp,spotify:track:6kl1qtQXQsFiIWRBK24Cfp,255413,True,63,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
67,Migo Montana,2Y3zcR4Zk0XyNtscjr7qvN,spotify:track:2Y3zcR4Zk0XyNtscjr7qvN,218612,True,39,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
68,Unchained (The Payback / Untouchable),1zPkAyWzIAePfmbhHetqK7,spotify:track:1zPkAyWzIAePfmbhHetqK7,171573,True,41,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
69,No Complaints,6kig1UFggPUyZBCvXD3Wod,spotify:track:6kig1UFggPUyZBCvXD3Wod,261733,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
70,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,spotify:track:3aGibUHhQyBsyumYHylw0K,212653,True,68,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
71,GUMMY,42tBlHWL3VfDkUM2iWcc5p,spotify:track:42tBlHWL3VfDkUM2iWcc5p,261000,True,60,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
72,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,304041,True,72,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
73,Oh My Dis Side (feat. Quavo),2rMFawCg4BW65jzbwztXAV,spotify:track:2rMFawCg4BW65jzbwztXAV,351253,True,66,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
74,Ok Alright (feat. ScHoolboy Q),0MRZ9nMoLc7qQ8Nhovv8C8,spotify:track:0MRZ9nMoLc7qQ8Nhovv8C8,417693,True,56,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
75,The Blanguage,23z0NFaX0CYXoetju87A4z,spotify:track:23z0NFaX0CYXoetju87A4z,252264,True,38,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
76,I Get the Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,233087,True,73,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
77,Patek Water (feat. Offset),7r6LNJT2LqpLpEyZQJPygt,spotify:track:7r6LNJT2LqpLpEyZQJPygt,189480,True,59,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
78,New Freezer (feat. Kendrick Lamar),4pYZLpX23Vx8rwDpJCpPTA,spotify:track:4pYZLpX23Vx8rwDpJCpPTA,193173,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
79,Sauce It Up,1uL78kFWxhz3umTMWJu8n5,spotify:track:1uL78kFWxhz3umTMWJu8n5,207038,True,70,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
80,Gilligan,2frDm1v0SFNyeduw3gO632,spotify:track:2frDm1v0SFNyeduw3gO632,207800,True,44,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
81,Watch Me,3lz2JgAt4cyr04qDlBgTOv,spotify:track:3lz2JgAt4cyr04qDlBgTOv,154456,True,58,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
82,Too Hotty,6rcKz2VYbcaHJ0qSXucR56,spotify:track:6rcKz2VYbcaHJ0qSXucR56,297377,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
83,MotorSport,1YZfcVLbbJwfizR5cDOp3q,spotify:track:1YZfcVLbbJwfizR5cDOp3q,307660,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
84,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub,spotify:track:5u6vkDnOyaf8LsteDAj2ub,268933,True,71,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
85,Transportin',1WIZiOuNO3woKfdlSK2gNn,spotify:track:1WIZiOuNO3woKfdlSK2gNn,169344,True,72,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
86,Stir Fry,4fndbjoz1qJyK6JcLdKfzm,spotify:track:4fndbjoz1qJyK6JcLdKfzm,192131,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
87,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,172800,True,82,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
88,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,181263,True,77,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
89,BBO (Bad Bitches Only),4BHzHISX21PYwGXiBEUQ70,spotify:track:4BHzHISX21PYwGXiBEUQ70,251858,True,62,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
90,Auto Pilot,4Kw3CztmD15X1QGDnnHmLD,spotify:track:4Kw3CztmD15X1QGDnnHmLD,287992,True,49,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
91,Emoji A Chain,0G9rmRmQDFk9O2tzZLyRkc,spotify:track:0G9rmRmQDFk9O2tzZLyRkc,315185,True,51,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
92,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",0RyA3o15NOLJYtm9NlDu5c,spotify:track:0RyA3o15NOLJYtm9NlDu5c,218946,True,63,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
93,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,211440,True,72,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
94,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,spotify:track:4LmAnpjlhWTahvRkYR8xJa,267426,True,69,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
95,"King's Dead (with Kendrick Lamar, Future & James Blake)",1eLSF6HfrRA0AsNmTkUlKx,spotify:track:1eLSF6HfrRA0AsNmTkUlKx,225266,True,66,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
96,Opps (with Yugen Blakrok),7bUcBztfGqO7cSI2gMZeCI,spotify:track:7bUcBztfGqO7cSI2gMZeCI,180893,True,59,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
97,44 More,6iyp6udVpLuq3MCUulZT4h,spotify:track:6iyp6udVpLuq3MCUulZT4h,188613,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
98,Achoo,2huH9q26JmfR0BzV4xKzny,spotify:track:2huH9q26JmfR0BzV4xKzny,244000,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
99,Yuck,0D5CXSUx8GOCHSY8KWgi9h,spotify:track:0D5CXSUx8GOCHSY8KWgi9h,173693,True,55,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
0,Come Over,2hPNuVVSV1tqiD2uPlfehz,spotify:track:2hPNuVVSV1tqiD2uPlfehz,321853,True,57,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
1,By the Poolside,4XTWiowLNAWfdc3YNq59VU,spotify:track:4XTWiowLNAWfdc3YNq59VU,217116,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
2,Westside,4rU2eED2YPnmmrVmLlaYVI,spotify:track:4rU2eED2YPnmmrVmLlaYVI,179629,False,27,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
3,How's It Wrong,3P5iJl5H2nOmWNMsCFuqFs,spotify:track:3P5iJl5H2nOmWNMsCFuqFs,234079,False,31,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
4,Bedroom,3LH6EfPCeySeuymuK2gWAO,spotify:track:3LH6EfPCeySeuymuK2gWAO,186781,False,63,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
5,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,158053,False,6,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
6,Cheers (feat. Q-Tip),4qNijbGeHqlcFWrGrATFOX,spotify:track:4qNijbGeHqlcFWrGrATFOX,334733,True,55,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
7,FEELS,4hyjgR9LU4B31xK6iIr6w7,spotify:track:4hyjgR9LU4B31xK6iIr6w7,227501,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
8,Worst Nites,7lVoniii4QwhNjCeHij2xZ,spotify:track:7lVoniii4QwhNjCeHij2xZ,211920,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
9,king,423VyysMCduMmvqDH5oGEB,spotify:track:423VyysMCduMmvqDH5oGEB,191440,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
10,waves - Tame Impala Remix,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,253346,False,69,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
11,Fever,2OHK6Hj0ITquxUstNPF5TM,spotify:track:2OHK6Hj0ITquxUstNPF5TM,281920,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
12,Ordinary,3AEJ5MpwV4WJSFhxj04ITx,spotify:track:3AEJ5MpwV4WJSFhxj04ITx,298933,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
13,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,spotify:track:3TgMcrV32NUKjEG2ujn9eh,248335,False,71,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
14,DJs & Porsches,7BhtNdWEvpx4n1vbqLrS93,spotify:track:7BhtNdWEvpx4n1vbqLrS93,197093,False,38,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
15,Lose My Cool,3G9zeErd0kMx012kmYUrm7,spotify:track:3G9zeErd0kMx012kmYUrm7,214578,False,63,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
16,In Camera,4vcyK8QHE6WsqiSnaBOtOS,spotify:track:4vcyK8QHE6WsqiSnaBOtOS,204386,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
17,CHANCES,439X8jGytErRiPnaoUJHju,spotify:track:439X8jGytErRiPnaoUJHju,218200,False,67,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
18,sunny,0cZcOtDqLaavK7LowhTBsa,spotify:track:0cZcOtDqLaavK7LowhTBsa,139130,False,60,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
19,Elevate,5BxVRqpZi6tIhAap1ZjzVD,spotify:track:5BxVRqpZi6tIhAap1ZjzVD,308360,False,49,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
20,Talk,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
21,8TEEN,5bgwqaRSS3M8WHWruHgSL5,spotify:track:5bgwqaRSS3M8WHWruHgSL5,228600,False,79,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
22,Prosecco,1OWu2Vin6WH1gVvgO05Pw8,spotify:track:1OWu2Vin6WH1gVvgO05Pw8,208626,True,46,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
23,Diddy Bop (x Louis The Child),2KZybiXVEQExXm2vtAcP8f,spotify:track:2KZybiXVEQExXm2vtAcP8f,219626,False,55,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
24,Big Sis,0ARp9mXXpPflIwehy25kCa,spotify:track:0ARp9mXXpPflIwehy25kCa,166400,False,58,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
25,Let Go,6hchk7cCDULpk2ag8JFjXQ,spotify:track:6hchk7cCDULpk2ag8JFjXQ,180479,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
26,Fire,5jRJlGB5EP7HFKwYBKvlSA,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,197749,False,47,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
27,Bohemian Trapsody,7Ii2ALuxW7NkLfQPhV4Rn2,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,404666,True,53,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
28,Turn The Light,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
29,Morrison,7FwUBR93O0aSvXltMM73e7,spotify:track:7FwUBR93O0aSvXltMM73e7,235755,False,38,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
30,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,177066,False,69,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
31,Don't Lose,6Kk8BZZiRIClaHm0Qmkj12,spotify:track:6Kk8BZZiRIClaHm0Qmkj12,230431,False,34,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
32,Reason,7hdM3l7whE3lTHP6WsoKZT,spotify:track:7hdM3l7whE3lTHP6WsoKZT,200000,False,46,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
33,Heart in Two,3FDcRqc0TH5wWERAOu1O0c,spotify:track:3FDcRqc0TH5wWERAOu1O0c,197800,False,27,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
34,Told You So,39Mfc40ap5dWCmAAtqMAW2,spotify:track:39Mfc40ap5dWCmAAtqMAW2,242259,False,32,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
