,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
20,When The Night,7fbye8EAeiLsiKAe2upMEh,St. Lucia,5WId4o5jdGVhptNU0uqKxu,Elevate,2013-10-04,spotify:album:7fbye8EAeiLsiKAe2upMEh,5BxVRqpZi6tIhAap1ZjzVD,spotify:track:5BxVRqpZi6tIhAap1ZjzVD,308360,False,49,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
21,Talk,58kvvQvx6OtLqEDhqYSzyM,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,2019-02-07,spotify:album:58kvvQvx6OtLqEDhqYSzyM,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
22,Talk,58kvvQvx6OtLqEDhqYSzyM,Disclosure,6nS5roXSAGhTGr34W6n7Et,Talk,2019-02-07,spotify:album:58kvvQvx6OtLqEDhqYSzyM,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
23,American Teen,6kf46HbnYCZzP6rjvQHYzg,Khalid,6LuN9FCkKOj5PcnpouEgny,8TEEN,2017-04-27,spotify:album:6kf46HbnYCZzP6rjvQHYzg,5bgwqaRSS3M8WHWruHgSL5,spotify:track:5bgwqaRSS3M8WHWruHgSL5,228600,False,79,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
24,Village,2KxC2M0bVm5hrK3GgGMuV9,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,Prosecco,2018-11-02,spotify:album:2KxC2M0bVm5hrK3GgGMuV9,1OWu2Vin6WH1gVvgO05Pw8,spotify:track:1OWu2Vin6WH1gVvgO05Pw8,208626,True,46,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
25,Fifty Shades Freed (Original Motion Picture Soundtrack),4w0N1CaZwQ5RPIuawqlYyy,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Diddy Bop (x Louis The Child),2018-02-09,spotify:album:4w0N1CaZwQ5RPIuawqlYyy,2KZybiXVEQExXm2vtAcP8f,spotify:track:2KZybiXVEQExXm2vtAcP8f,219626,False,55,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
26,SALES LP,7ywSMs3G2OWOGVKMqc7KsE,SALES,6vVztIuqdDHvYWxOEXCzjN,Big Sis,2016-04-20,spotify:album:7ywSMs3G2OWOGVKMqc7KsE,0ARp9mXXpPflIwehy25kCa,spotify:track:0ARp9mXXpPflIwehy25kCa,166400,False,58,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
27,Let Go,6EkfVAo6uWwoWa7nwevWPM,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,Let Go,2018-02-07,spotify:album:6EkfVAo6uWwoWa7nwevWPM,6hchk7cCDULpk2ag8JFjXQ,spotify:track:6hchk7cCDULpk2ag8JFjXQ,180479,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
28,Fire,4b7DQdQztY3wvk8DJB8bgz,Diskopunk,5Ck4KWOZsbrSQpiLimooDp,Fire,2016-03-22,spotify:album:4b7DQdQztY3wvk8DJB8bgz,5jRJlGB5EP7HFKwYBKvlSA,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,197749,False,47,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
29,Supermarket (Soundtrack),7C5J8fG34IbOKe2pQPq9SU,Logic,4xRYI6VqpkE3UwrDrAZL8L,Bohemian Trapsody,2019-03-26,spotify:album:7C5J8fG34IbOKe2pQPq9SU,7Ii2ALuxW7NkLfQPhV4Rn2,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,404666,True,53,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
30,Lux Prima,1kgurOfUl0Qu20MDK46xur,Karen O,6emHCSoB4tJxTVXakbrpPz,Turn The Light,2019-03-15,spotify:album:1kgurOfUl0Qu20MDK46xur,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
31,Lux Prima,1kgurOfUl0Qu20MDK46xur,Danger Mouse,2dBj3prW7gP9bCCOIQeDUf,Turn The Light,2019-03-15,spotify:album:1kgurOfUl0Qu20MDK46xur,6vw4YLRXNvtFxA2yxVrR6H,spotify:track:6vw4YLRXNvtFxA2yxVrR6H,199320,False,51,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
32,Morrison,4Dq6bkNjN6gOz0P51j759B,FRENSHIP,7xEFii6utZmQ61kX59HmLH,Morrison,2014-06-03,spotify:album:4Dq6bkNjN6gOz0P51j759B,7FwUBR93O0aSvXltMM73e7,spotify:track:7FwUBR93O0aSvXltMM73e7,235755,False,38,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
33,Free Spirit,6KT8x5oqZJl9CcnM66hddo,Khalid,6LuN9FCkKOj5PcnpouEgny,Outta My Head (with John Mayer),2019-04-05,spotify:album:6KT8x5oqZJl9CcnM66hddo,09oZ9eXQ2fo6YDrPzJqAoP,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,177066,False,69,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
34,The Omnitone Collection,6uecoRvQc3nqMVgZoxrEHK,Elder Island,3EnbnmqrrvApHJs6FMvYik,Don't Lose,2019-02-08,spotify:album:6uecoRvQc3nqMVgZoxrEHK,6Kk8BZZiRIClaHm0Qmkj12,spotify:track:6Kk8BZZiRIClaHm0Qmkj12,230431,False,34,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
35,Soulection Black Label: Hablot Brown,4drK8GetIiILQI15zbGOex,Hablot Brown,6LtgEnShwvrqAaKohg7skM,Reason,2018-07-29,spotify:album:4drK8GetIiILQI15zbGOex,7hdM3l7whE3lTHP6WsoKZT,spotify:track:7hdM3l7whE3lTHP6WsoKZT,200000,False,46,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
36,Alix,185i0n1TQMSppzacSaADTu,Generationals,57MtJQ6Sc4tIxrXIhrqVJL,Heart in Two,2014-09-12,spotify:album:185i0n1TQMSppzacSaADTu,3FDcRqc0TH5wWERAOu1O0c,spotify:track:3FDcRqc0TH5wWERAOu1O0c,197800,False,27,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
37,In Your Own Sweet Time,2hduWl9FwHZ1B75dINAdnw,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Told You So,2018-03-16,spotify:album:2hduWl9FwHZ1B75dINAdnw,39Mfc40ap5dWCmAAtqMAW2,spotify:track:39Mfc40ap5dWCmAAtqMAW2,242259,False,32,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
38,Take a Rest,1JWM6OVhoe7bInrtbiePPl,Tora,7KGI0OwY8iAL5rI5p47YyK,Entity,2017-06-09,spotify:album:1JWM6OVhoe7bInrtbiePPl,6ThstWIn274ADNjJBnUbEQ,spotify:track:6ThstWIn274ADNjJBnUbEQ,274714,False,9,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
39,Hard Groove,7ocjymC4B0S00K0BZ71M9X,The RH Factor,3m7Ej9zfNto7JOsjKsYhEr,Forget Regret,2003-01-01,spotify:album:7ocjymC4B0S00K0BZ71M9X,34iP1qPyAfLpBAcMo7TQfN,spotify:track:34iP1qPyAfLpBAcMo7TQfN,232160,False,46,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
40,Small Crimes / Keep on Calling,6P0OeaEOj3lhJ31agZkAc1,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,Keep on Calling,2016-11-18,spotify:album:6P0OeaEOj3lhJ31agZkAc1,4FUrVPC15KK8OcABXprp3Z,spotify:track:4FUrVPC15KK8OcABXprp3Z,230310,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
41,"U Say (feat. Tyler, The Creator & Jay Prince)",5g0xMnMMjem2z6vr3ZXzES,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,"U Say (feat. Tyler, The Creator & Jay Prince)",2019-06-06,spotify:album:5g0xMnMMjem2z6vr3ZXzES,0xYlNtVflZPG1pUbk4qp77,spotify:track:0xYlNtVflZPG1pUbk4qp77,200801,True,48,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
42,Origin,7fn4t6YrZzqowiab2fugQK,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Rolling into One,2019-06-14,spotify:album:7fn4t6YrZzqowiab2fugQK,6rDunNC3OsxLUkxK1aEjnL,spotify:track:6rDunNC3OsxLUkxK1aEjnL,259196,False,0,5myx61jwlbF2iMDVWNK0Ps,wrist whippin
