,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
22,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Boat Drinks,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,1uY4UVKMPbOFj9cdtNc6a6,sailing
23,Volcano,1sU8u99py6xR0RhLY70vMD,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Boat Drinks,1979-01-01,spotify:album:1sU8u99py6xR0RhLY70vMD,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
24,The Foundation,5GP6INOrUkZJyXOqoTUlxZ,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Where the Boat Leaves From,2008-11-17,spotify:album:5GP6INOrUkZJyXOqoTUlxZ,3R8XBHHIhlzJo65YFgp0Z2,spotify:track:3R8XBHHIhlzJo65YFgp0Z2,222533,False,56,1uY4UVKMPbOFj9cdtNc6a6,sailing
25,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Havana Daydreamin',1976-01-01,spotify:album:3dbWXUnz77tczgFBFCfqzE,7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
26,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Havana Daydreamin',1976-01-01,spotify:album:3dbWXUnz77tczgFBFCfqzE,7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
27,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Havana Daydreamin',1976-01-01,spotify:album:3dbWXUnz77tczgFBFCfqzE,7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
28,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Havana Daydreamin',1976-01-01,spotify:album:3dbWXUnz77tczgFBFCfqzE,7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
29,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Mañana,1978-01-01,spotify:album:56JCyRFdBu8cTxla0VrGLK,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,1uY4UVKMPbOFj9cdtNc6a6,sailing
30,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Mañana,1978-01-01,spotify:album:56JCyRFdBu8cTxla0VrGLK,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
31,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Mañana,1978-01-01,spotify:album:56JCyRFdBu8cTxla0VrGLK,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,1uY4UVKMPbOFj9cdtNc6a6,sailing
32,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Mañana,1978-01-01,spotify:album:56JCyRFdBu8cTxla0VrGLK,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
33,Hemingway's Whiskey,0EJVUQGqNRxYBBCS0OLqY7,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Coastal,2010-09-28,spotify:album:0EJVUQGqNRxYBBCS0OLqY7,22ejspKqayOvA7eCzUjFlk,spotify:track:22ejspKqayOvA7eCzUjFlk,159586,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
34,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Something 'Bout a Boat,2013-08-20,spotify:album:6hKHUGNdKQNNf614xxTX8v,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,1uY4UVKMPbOFj9cdtNc6a6,sailing
35,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Something 'Bout a Boat,2013-08-20,spotify:album:6hKHUGNdKQNNf614xxTX8v,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
36,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Something 'Bout a Boat,2013-08-20,spotify:album:6hKHUGNdKQNNf614xxTX8v,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,1uY4UVKMPbOFj9cdtNc6a6,sailing
37,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v,Jimmy Buffett,28AyklUmMECPwdfo8NEsV0,Something 'Bout a Boat,2013-08-20,spotify:album:6hKHUGNdKQNNf614xxTX8v,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,6pBkmo0Pn8HSjtcudqqGDE,Jimmy Buffett Best Of
