,album_name,album_id
46,Big Fish,22mvgB51PRJNYckzgeHNUv
47,The R.E.D. Album,6PvZnd9Q2ymDo3gpoM5I37
48,BUTTERFLY EFFECT,4fOw7xSDwqb58Z2Qia5j81
49,bloom,3yWRq9Dd2UO5xyqxTjLDmp
50,Blank Face LP,0YbpATCIng8Fz2JrfHmEf7
51,Oxymoron (Deluxe),7Et3bSTLLqdABO1qCxUplS
52,Setbacks,5QGtxFOTTr0Z4TyUQNVOKO
54,Old English,1uxU3gVbnwKwDlcY3FV8QJ
55,LONG.LIVE.A$AP (Deluxe Version),1E1eyI5uGllppJZCxNoF9w
56,Kanye West Presents Good Music Cruel Summer,0cGgwoMge4N2zpTiP2GU6d
57,Jesus Piece (Deluxe),5IBNSiR9VYaGIxOfcOJ2LB
58,Because The Internet,0zi2TaQkYxfXIBvl2yTjQJ
59,2001,7q2B4M5EiBkqrlsNW8lB7N
60,Yay Yay,15e42MdyTx5V4ugn0O5Z05
61,Grateful,3HhZbSJdhOqMSaRbEt3gtw
62,DROGAS Light,2utMSPHiSIHEg2vb9awgDi
63,Barter 6,0BsMZIueWsJLWng8A7sE8e
64,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)",46LLRn6y7TOMT96frj1KWO
65,Nasty (Who Dat) (feat. Migos),1W3KMjVKG9AcdKGkhfKwIY
66,Plain Jane,0EjBxyMCOkBqeMZS9PJyxw
67,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",25qGbr8e0Mxv2GfyRJHoXq
68,Jungle Rules,4c2p3TdN7NcQfCXyueCNnC
69,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,2qwPVMQzybhS2jopA0wMy7
70,No Complaints,4VXEIoFGEjhFMW7wYAvWSf
71,"good kid, m.A.A.d city (Deluxe)",3DGQ1iZ9XKUQxAUWjfC34w
72,SATURATION II,0XnqQzdSFAml08XZoRt1St
76,Lifestyles Rg,1dCzFbpWfGnPyTFVQVDcQe
77,Mr. Davis,2aTOwGU66ocsf8IQpOI0XZ
78,SUPER SLIMEY,187UNqZ7MX3neMYkkevmdm
79,New Freezer (feat. Kendrick Lamar),5LaCH6lgcr6LaNdb3ldZrp
80,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE
81,Gilligan (feat. A$AP Rocky & Juicy J),0KugvH7L0uh3QVcIjxh4nX
82,SYRE,4IFpj2jyRcugt1yzH82m3E
83,Too Hotty,3Mn6loHNI1yHk1GmKLoeJS
84,MotorSport,55IoPTWDaFLWGhxR7E4YSH
85,Without Warning,0MV1yCXcNNQBfwApqAVkH0
86,Project Baby 2: All Grown Up,51wp3EOOp2mBIjhZjR7W0i
87,Stir Fry,2mDzhes9hFHQiBEMkvVtkF
89,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS
90,Culture II,7fd7SEK25VS3gJAUgSwL6y
93,Cozy Tapes Vol. 2: Too Cozy,0qr1Fvi1haEDWVbFtekZLb
94,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR
98,44 More,6xEahv0rPP5PHJh4kpQ6jT
99,Achoo,7A1YvHtwUCd4EjhJBd3zTo
