,song_name,artist_id,artist_name,type,uri_x,song_id,uri_y,duration_ms,explicit,popularity
67,Sincerity Is Scary,3mIj9lX2MWuHmhNCA7LSCW,The 1975,artist,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,6HguG9HRb1Ke1bhihfE4m8,spotify:track:6HguG9HRb1Ke1bhihfE4m8,225955,False,65
68,Castaway,3kHVioJpVxlazAAKQ64pC1,Yuna,artist,spotify:artist:3kHVioJpVxlazAAKQ64pC1,19zPT36WogsfBd8HIaUnt4,spotify:track:19zPT36WogsfBd8HIaUnt4,269893,True,53
69,Castaway,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",artist,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,19zPT36WogsfBd8HIaUnt4,spotify:track:19zPT36WogsfBd8HIaUnt4,269893,True,53
70,Uno Dos (feat. Jaden Smith),0jsnWH4QCKcAMpR7vEhh9u,¿Téo?,artist,spotify:artist:0jsnWH4QCKcAMpR7vEhh9u,6gigGFhKguOzObNC5QZbeW,spotify:track:6gigGFhKguOzObNC5QZbeW,169639,False,0
71,Uno Dos (feat. Jaden Smith),0xOeVMOz2fVg5BJY3N6akT,Jaden,artist,spotify:artist:0xOeVMOz2fVg5BJY3N6akT,6gigGFhKguOzObNC5QZbeW,spotify:track:6gigGFhKguOzObNC5QZbeW,169639,False,0
72,Nerve For The Ages,19h4y2F9duQ776bv1YhQYt,Yves Jarvis,artist,spotify:artist:19h4y2F9duQ776bv1YhQYt,2fzK1mbS6V9UXQQ8reSjXH,spotify:track:2fzK1mbS6V9UXQQ8reSjXH,112977,False,34
73,The Florist,09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,artist,spotify:artist:09kXLeOXRyfNQMXRaDO4qA,19y7Eh2ORRo6spiEcr4aTU,spotify:track:19y7Eh2ORRo6spiEcr4aTU,201833,False,0
74,Michigan,1pHO6SCEw9tuRx0IVMFL0g,Barrie,artist,spotify:artist:1pHO6SCEw9tuRx0IVMFL0g,3UBkhPyI6UfmH86bxxPLcb,spotify:track:3UBkhPyI6UfmH86bxxPLcb,215000,False,35
75,Here,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,artist,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,1wYZZtamWTQAoj8B812uKQ,spotify:track:1wYZZtamWTQAoj8B812uKQ,199453,False,67
76,Why Don’t You Come On (ft. Khalid and Empress Of),0orEyXhG0KnPEDVgpctNJI,DJDS,artist,spotify:artist:0orEyXhG0KnPEDVgpctNJI,7zgoHkxLgchJwPdhbJhQ3K,spotify:track:7zgoHkxLgchJwPdhbJhQ3K,199980,False,43
77,Why Don’t You Come On (ft. Khalid and Empress Of),6LuN9FCkKOj5PcnpouEgny,Khalid,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,7zgoHkxLgchJwPdhbJhQ3K,spotify:track:7zgoHkxLgchJwPdhbJhQ3K,199980,False,43
78,Why Don’t You Come On (ft. Khalid and Empress Of),5QuBVnBPEzwYvFrgBbwpmU,Empress Of,artist,spotify:artist:5QuBVnBPEzwYvFrgBbwpmU,7zgoHkxLgchJwPdhbJhQ3K,spotify:track:7zgoHkxLgchJwPdhbJhQ3K,199980,False,43
79,Bambi,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus,artist,spotify:artist:1btWGBz4Uu1HozTwb2Lm8A,5dmPNuHmRRJuHmJTDa7NuJ,spotify:track:5dmPNuHmRRJuHmJTDa7NuJ,194400,True,64
80,Way to be Loved,2SdK1QDmZIP2hk94rSaLl9,TOPS,artist,spotify:artist:2SdK1QDmZIP2hk94rSaLl9,5FjC0o2EGdlAMdc3hfeTMd,spotify:track:5FjC0o2EGdlAMdc3hfeTMd,263396,False,56
81,Habits,1pHO6SCEw9tuRx0IVMFL0g,Barrie,artist,spotify:artist:1pHO6SCEw9tuRx0IVMFL0g,1qAcX4wZpol2I0QtDSck3L,spotify:track:1qAcX4wZpol2I0QtDSck3L,217640,False,28
82,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",6bJCrLZcvsBMzve04BmgwS,Golden Vessel,artist,spotify:artist:6bJCrLZcvsBMzve04BmgwS,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0
83,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",5O3OUnaadL3aEVi5x6ImOl,Elkkle,artist,spotify:artist:5O3OUnaadL3aEVi5x6ImOl,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0
84,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",7ASucWaI33cepJbo74Hlo0,E^ST,artist,spotify:artist:7ASucWaI33cepJbo74Hlo0,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0
85,"BIGBRIGHT (feat. Elkkle, E^ST & Duckwrth)",6I3MElirhT5t6Kf7p0hGk9,Duckwrth,artist,spotify:artist:6I3MElirhT5t6Kf7p0hGk9,4gErEUBzsNChBuqk9jgycY,spotify:track:4gErEUBzsNChBuqk9jgycY,247385,False,0
86,In Degrees,6FQqZYVfTNQ1pCqfkwVFEa,Foals,artist,spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa,2muJzxNCRL7M2QeCmjPubU,spotify:track:2muJzxNCRL7M2QeCmjPubU,297632,False,54
87,Opportunistic,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus,artist,spotify:artist:1btWGBz4Uu1HozTwb2Lm8A,79LfU5ufUmiLvLURU23Yyf,spotify:track:79LfU5ufUmiLvLURU23Yyf,139822,False,37
88,Temper Temper,6yrtCy4XJHXM6tczo4RlTs,Lime Cordiale,artist,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,3DCU0R5FFaB9GKxZERb5wr,spotify:track:3DCU0R5FFaB9GKxZERb5wr,208980,False,61
89,Feel Alright,6IVta6osiP9HifjCLIw4cv,Zanski,artist,spotify:artist:6IVta6osiP9HifjCLIw4cv,1w4zsr8vQDFkVDOX22hEOF,spotify:track:1w4zsr8vQDFkVDOX22hEOF,253953,False,12
90,Sad,6sFHvCyqklnJpXC9Nh1aag,Alexander 23,artist,spotify:artist:6sFHvCyqklnJpXC9Nh1aag,5Ybp65SomeSJEj8xmUARdA,spotify:track:5Ybp65SomeSJEj8xmUARdA,163066,False,0
91,Martini Blue,0siBQaURCli5wn2lqv8WZg,DPR LIVE,artist,spotify:artist:0siBQaURCli5wn2lqv8WZg,7zDu3l7DDlfSlt20YMKkWo,spotify:track:7zDu3l7DDlfSlt20YMKkWo,195204,False,58
92,Softly,3l0CmX0FuQjFxr8SK7Vqag,Clairo,artist,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,4PvbbMYL4fkToni5BLaYRb,spotify:track:4PvbbMYL4fkToni5BLaYRb,185306,False,70
93,Hit Me Up,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,artist,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
94,Hit Me Up,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,artist,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
95,Hit Me Up,1rHOtdmGNr5vcYNw5v7QGC,Kenny Beats,artist,spotify:artist:1rHOtdmGNr5vcYNw5v7QGC,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
96,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),4596e2d3KmYzAeVenjCxfj,Free Nationals,artist,spotify:artist:4596e2d3KmYzAeVenjCxfj,4ej94zqr9xYLbWphCH3TcD,spotify:track:4ej94zqr9xYLbWphCH3TcD,277046,True,52
97,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,artist,spotify:artist:20wkVLutqVOYrc0kxFs7rA,4ej94zqr9xYLbWphCH3TcD,spotify:track:4ej94zqr9xYLbWphCH3TcD,277046,True,52
